Actual,LSTM_Predicted,GRU_Predicted,SRNN_Predicted,CNN_Predicted
0.559785261102977,0.646907,0.5406567,0.59729135,0.5966667
0.581942410932162,0.64694834,0.54684424,0.5973266,0.59777474
0.569741337237677,0.64701575,0.552138,0.5973937,0.59968686
0.5515861395802831,0.64705914,0.5529816,0.5974308,0.603914
0.5091264031234749,0.6470763,0.5503053,0.59742546,0.6062119
0.5187896534895071,0.6470386,0.53670824,0.5973387,0.6067991
0.510688140556369,0.6469749,0.53696334,0.5972766,0.60106814
0.5327476817959981,0.6469261,0.5305815,0.59721816,0.5936154
0.527086383601757,0.6469134,0.5365995,0.59721285,0.58723617
0.522108345534407,0.6469135,0.5356673,0.5972315,0.5885326
0.522108345534407,0.64689314,0.53332645,0.5971968,0.5905261
0.5202537823328452,0.64688444,0.5328552,0.5971868,0.59004045
0.5215226939970719,0.6468648,0.5313126,0.5971891,0.5862241
0.5093216203025867,0.64684033,0.53353614,0.59717274,0.5861436
0.5175207418252806,0.6468266,0.5280882,0.5971479,0.58770525
0.5119570522205954,0.64680123,0.5293578,0.597124,0.5876694
0.5214250854075159,0.64678466,0.527907,0.5971157,0.58629906
0.5267935578330893,0.6467867,0.5312168,0.5971291,0.5852341
0.5227916056612982,0.64680016,0.5318006,0.59715116,0.5859277
0.5241581259150806,0.64680624,0.5328723,0.597163,0.588235
0.5264031234748658,0.64681304,0.5337442,0.59717494,0.58973765
0.5165446559297219,0.6468196,0.53390396,0.5971789,0.59078777
0.5089311859443632,0.64681405,0.5308124,0.59716415,0.5909129
0.4907759882869692,0.6467967,0.5275557,0.59713364,0.59023213
0.5041483650561249,0.64675546,0.52052987,0.59708035,0.5869987
0.5038555392874573,0.6467153,0.5217861,0.5970488,0.58189714
0.5143972669594925,0.64670044,0.52318466,0.5970534,0.5783211
0.52298682284041,0.64670575,0.52425706,0.59705675,0.58019114
0.5269887750122011,0.6467171,0.52764374,0.59708595,0.582204
0.5306002928257687,0.6467404,0.530071,0.59711826,0.58430374
0.5164470473401659,0.64676213,0.5327049,0.59715086,0.58699477
0.5224011713030746,0.6467763,0.5300958,0.5971552,0.5885438
0.5151781356759395,0.64677286,0.53065634,0.59715104,0.5889772
0.5152757442654954,0.6467663,0.5287585,0.597141,0.58874786
0.5108833577354808,0.64675915,0.5294529,0.5971325,0.5874275
0.5033674963396779,0.6467624,0.528376,0.59713113,0.5873891
0.5102000976085896,0.6467395,0.5241344,0.59709674,0.5865862
0.5194729136163982,0.6467202,0.5251918,0.59708023,0.58492374
0.5173255246461689,0.6467255,0.5277425,0.59709406,0.58336866
0.5069790141532455,0.64673126,0.527318,0.59710324,0.5849098
0.5159590043923865,0.6467258,0.5244396,0.5970856,0.58495027
0.5268911664226452,0.646718,0.5270425,0.5970949,0.5841751
0.5212298682284041,0.64674014,0.5297495,0.59711874,0.58346
0.5184968277208395,0.6467641,0.52945614,0.5971454,0.58296883
0.5266959492435334,0.64676946,0.53023124,0.59716,0.5838319
0.5340165934602245,0.6467738,0.53100514,0.59715736,0.5849712
0.52962420693021,0.646793,0.534425,0.59718174,0.5876497
0.5269887750122011,0.6468234,0.535749,0.5972116,0.5892895
0.5241581259150806,0.64683414,0.5345179,0.5972147,0.590623
0.533626159102001,0.64682865,0.5329939,0.5971984,0.59085417
0.5261102977061982,0.64683306,0.5350709,0.59720063,0.59050614
0.5288433382137628,0.6468384,0.5351597,0.597209,0.590745
0.5298194241093216,0.6468464,0.53531456,0.597211,0.59162533
0.5145924841386043,0.6468523,0.5360107,0.59721684,0.5918739
0.5167398731088336,0.64684314,0.53168106,0.59719056,0.5917915
0.5160566129819424,0.6468185,0.5310533,0.59716564,0.5910729
0.5121522693997071,0.646829,0.5330117,0.59717405,0.5901358
0.5046364080039044,0.6468084,0.5290953,0.5971576,0.58872366
0.5113714006832601,0.64677787,0.5251217,0.59710336,0.5882915
0.5096144460712543,0.6467519,0.5263853,0.59709185,0.5860237
0.4989751098096632,0.6467359,0.5259601,0.59708035,0.5842738
0.48101512933138113,0.646718,0.5225482,0.5970581,0.58313835
0.4871644704734016,0.64667743,0.5155127,0.5970027,0.5826895
0.4826744753538311,0.6466265,0.514341,0.59696347,0.5775541
0.48062469497315763,0.6465934,0.51332426,0.59694695,0.5706959
0.47369448511469014,0.64655125,0.510229,0.5969027,0.568367
0.47369448511469014,0.64650774,0.5086559,0.59687006,0.56874734
0.4587603709126403,0.64646375,0.5070517,0.59683216,0.56770456
0.45290385553928747,0.64641607,0.50146365,0.5967757,0.56623924
0.4584675451439727,0.6463487,0.49665555,0.5967135,0.5633851
0.44899951195705223,0.64629495,0.49635187,0.59667766,0.55894256
0.4536847242557345,0.6462537,0.49351054,0.59664834,0.5535377
0.46276232308443144,0.64620876,0.49063915,0.5966071,0.55124307
0.47408491947291365,0.6461818,0.49308014,0.59661555,0.5487776
0.4672523182040019,0.646185,0.49648693,0.596643,0.54779184
0.4601268911664227,0.64618194,0.4954575,0.59666055,0.5495585
