Actual,LSTM_Predicted,GRU_Predicted,SRNN_Predicted,CNN_Predicted,BLSTM
0.48167204987606094,0.47419804,0.45068637,0.43778825,0.461593,0.49387148
0.48349357770600165,0.47630268,0.45263216,0.43621147,0.46437997,0.49445787
0.48589724329602646,0.47768515,0.4526318,0.43681914,0.46553862,0.49404255
0.49400961466236004,0.47883356,0.45499244,0.4367306,0.46785226,0.49491763
0.4986103808307669,0.48007357,0.45683244,0.4413307,0.4690157,0.49630886
0.5029670247126868,0.48186857,0.46008432,0.44610536,0.4721899,0.49930868
0.49744610531059863,0.48423034,0.4624981,0.447896,0.47493666,0.5023595
0.5059340494253737,0.48631954,0.46248206,0.44717497,0.47759596,0.50295526
0.5060654998873282,0.48815364,0.46493706,0.44718862,0.47962394,0.5045777
0.5028167956133103,0.4898525,0.46644434,0.44934726,0.48136783,0.50621295
0.5325058213776008,0.49118757,0.4666189,0.4504673,0.483158,0.5066224
0.5253323818823706,0.49285752,0.4721125,0.454706,0.4852625,0.51016
0.5229287162923458,0.49585873,0.47722962,0.46606666,0.48901883,0.51590997
0.5228911590175016,0.49849832,0.47589353,0.4617628,0.49197468,0.516534
0.5248253586719748,0.500736,0.476885,0.4552037,0.49602574,0.51729035
0.5212574175617817,0.50232404,0.4780251,0.46302164,0.4970719,0.51834995
0.5251258168707278,0.5034478,0.47857538,0.45838115,0.49880832,0.51913136
0.5126380229850522,0.5040941,0.47894973,0.46008748,0.4994372,0.5198751
0.5167881018553293,0.5036767,0.47671893,0.45815158,0.499968,0.5174684
0.5153045894989859,0.50333714,0.47706679,0.45674932,0.4991644,0.51771724
0.5129948170960715,0.5031472,0.47689787,0.4568759,0.49914238,0.51842266
0.510666266055735,0.50266874,0.47649696,0.45518392,0.49896306,0.5184131
0.5129009239089611,0.5016792,0.47406366,0.45630383,0.49810392,0.516887
0.5108728310673778,0.50093716,0.47504064,0.4547537,0.49695328,0.51752794
0.5089386314129046,0.5002285,0.47383898,0.4548829,0.49620137,0.51722604
0.5034177120108164,0.49907154,0.472068,0.4526145,0.49475282,0.51568085
0.5062720648989709,0.49794954,0.4712264,0.4513722,0.49350786,0.5152021
0.5001690077367986,0.49698102,0.470427,0.45154914,0.49192572,0.51492774
0.5073424472320288,0.49590415,0.46917236,0.4512018,0.49068505,0.5137957
0.5067790881093668,0.49517953,0.46980086,0.45077753,0.48936474,0.5142449
0.5211635243746713,0.49514967,0.4708515,0.45410758,0.48921934,0.5159815
0.5192105460827763,0.49591058,0.47422177,0.45870882,0.48989943,0.51928735
0.523792533613761,0.4974612,0.4749829,0.46159536,0.4915188,0.5220982
0.5332569668744837,0.49933118,0.47686055,0.46281785,0.49421525,0.52460843
0.5422331555622324,0.50136364,0.47990516,0.46594304,0.4958204,0.5278138
0.5425711710358296,0.50355,0.48290417,0.47131288,0.4985088,0.531044
0.5450499511755427,0.5064959,0.48547837,0.47312438,0.5025276,0.5349352
0.5455381957485165,0.50981367,0.48790082,0.47507894,0.5070867,0.53860116
0.5486554495605799,0.5127492,0.48964587,0.47645503,0.5106819,0.540872
0.5465710208067303,0.51516604,0.49140456,0.47662708,0.51346177,0.54275554
0.5404116277322917,0.5168688,0.49198762,0.47758222,0.5154676,0.5436607
0.5382333057913318,0.5175993,0.49091315,0.47601265,0.5165659,0.5423589
0.5307406294599264,0.51730925,0.48977634,0.47299433,0.5168927,0.5400528
0.5374446030196048,0.51614934,0.48751602,0.46849978,0.5159046,0.53724253
0.5357357470141967,0.5148203,0.48810935,0.46821666,0.5143889,0.5365146
0.5506459851273192,0.5136501,0.48734108,0.47044218,0.51305443,0.53580755
0.5486366709231578,0.51346296,0.49103126,0.47483492,0.5130089,0.53832316
0.5511342297002929,0.5145465,0.492703,0.48109424,0.51419514,0.5413729
0.5304777285360174,0.51634794,0.49419725,0.48160768,0.51679474,0.543721
0.5307406294599264,0.5168181,0.48990333,0.474765,0.51737475,0.540064
0.5395102531360325,0.51615584,0.48805192,0.47023255,0.51661706,0.53689766
0.5460827762337565,0.51532835,0.48953846,0.4690546,0.5148668,0.5369888
0.5467212499061068,0.5153617,0.49123135,0.47595003,0.51472527,0.5392281
0.5478479681514309,0.5156665,0.49135223,0.47686425,0.51531476,0.5396202
0.5431908660707578,0.5165735,0.4931288,0.47931075,0.5164703,0.54127985
0.544862164801322,0.5173389,0.49244794,0.4788012,0.5168184,0.54132235
0.5314917749568091,0.5177222,0.4924656,0.47315913,0.5172107,0.541086
0.5061593930744386,0.51723564,0.48969823,0.47123522,0.5172448,0.5386753
0.5184218433110493,0.5138964,0.48042908,0.4593966,0.515779,0.5291673
0.48572823555922784,0.5102331,0.48117104,0.45512953,0.509896,0.52686137
0.4725456320889356,0.50420976,0.46986285,0.448274,0.50637126,0.5165828
0.4714001352061894,0.49737507,0.46250555,0.4338043,0.49598527,0.50754726
0.47355967850972736,0.49092966,0.45901123,0.43284473,0.49049273,0.50309575
0.486592052880643,0.4857024,0.4568297,0.43432653,0.48195022,0.5013749
0.5128070307218507,0.4830178,0.45959812,0.44056958,0.47841936,0.50479174
0.5034177120108164,0.48334485,0.4657533,0.45370802,0.47735685,0.5121871
0.4924322091189064,0.4854343,0.4658235,0.46079248,0.4788593,0.5161089
0.4925636595808608,0.48719692,0.46343467,0.45064712,0.48006463,0.51533043
0.49887328175467593,0.488024,0.46212277,0.44655615,0.480809,0.51397973
0.5290881093667843,0.4879489,0.46216017,0.44700292,0.47975564,0.5131725
0.534477578306918,0.4893232,0.4708496,0.45614868,0.48110458,0.5199909
0.5325058213776008,0.49276268,0.47528127,0.47008976,0.48550716,0.5271125
0.5412003305040186,0.49721998,0.4784411,0.4701673,0.49224213,0.5318104
0.5442236911289716,0.50159204,0.48194358,0.47401667,0.496304,0.535585
0.5252197100578382,0.5056853,0.48485604,0.4737328,0.5012751,0.5391082
0.5266656651393374,0.50789475,0.48227364,0.46772376,0.5035122,0.53706956
0.4943476301359573,0.5087501,0.48171005,0.46536034,0.505502,0.53507906
0.47538120633966796,0.5061678,0.47203878,0.45373395,0.50544894,0.5247783
0.4767896041463231,0.50124884,0.4655097,0.43959966,0.50013655,0.5148664
0.45746638623901453,0.49541408,0.4615217,0.43584347,0.49459326,0.5086689
0.45602043115751517,0.48875982,0.45435932,0.42799526,0.48631093,0.50108016
0.48264853902200855,0.4816689,0.4481336,0.42367694,0.47902673,0.4935334
0.4546871479005483,0.4764951,0.45077193,0.4310448,0.47057816,0.49401483
0.5298768121385112,0.47332907,0.4489257,0.43555102,0.46622998,0.4941099
0.5124877938856757,0.47485018,0.4655893,0.45424902,0.46782005,0.50817865
0.5031548110869075,0.47901493,0.4630523,0.46114188,0.47106397,0.5134316
0.47992563659580856,0.482427,0.46147546,0.45457754,0.4758986,0.5113331
0.510403365131826,0.48343146,0.45557806,0.44384503,0.47679627,0.5049063
0.5022158792158041,0.4844694,0.46311983,0.4449359,0.4751728,0.5083387
0.45436791106437313,0.48530728,0.46256793,0.4461047,0.4760201,0.5086026
0.48090212574175617,0.4838271,0.45199642,0.43312085,0.4743712,0.49890545
0.3939570344775783,0.48123258,0.4520753,0.43082386,0.47342116,0.495181
0.42077292871629235,0.4734298,0.4270592,0.40029216,0.46844298,0.4739044
0.36188312176068504,0.46526945,0.42783645,0.3926815,0.45638722,0.46637568
0.3504469315706452,0.45400506,0.4024258,0.37020487,0.4486184,0.4447602
0.33302035604296554,0.44132948,0.39329064,0.3599674,0.42611802,0.4294286
0.3012656801622474,0.42810202,0.38250735,0.35370427,0.41668096,0.4170653
0.34287914068955155,0.41414148,0.36364034,0.33999744,0.39380786,0.4002436
0.3795538195748516,0.40273428,0.3673956,0.34589103,0.38166866,0.39964393
0.4157965897994441,0.3957523,0.3759387,0.36254612,0.3685737,0.40986845
0.3919289416359949,0.39518565,0.39122742,0.3948344,0.37335074,0.42889205
0.40623826335161123,0.39822245,0.38906756,0.38998738,0.37430206,0.43573853
0.3995906257041989,0.404068,0.39483333,0.3959056,0.38220823,0.4427741
0.37566664162848346,0.40981537,0.39551592,0.3961243,0.38326496,0.44531897
0.3702020581386614,0.41245556,0.3875962,0.37369698,0.38601077,0.43854645
0.3550101404642079,0.41252345,0.3839601,0.37295935,0.3852868,0.431243
0.3971118455644858,0.4103194,0.37796083,0.36088037,0.3835563,0.42277855
